# Time-averaged data for fix print2
# TimeStep c_CG[1] c_CG[2] c_CG[3] c_LG[1] c_LG[2] c_LG[3]
25300 50 50.0009 0.500355 -0.582931 0 0
25400 50 50.0009 0.500363 -0.582931 0 0
25500 50 50.0009 0.500371 -0.582931 0 0
25600 50 50.0009 0.500379 -0.582931 0 0
25700 50 50.0009 0.500387 -0.582931 0 0
25800 50 50.0009 0.500395 -0.582931 0 0
25900 50 50.0009 0.500403 -0.582931 0 0
26000 50 50.0009 0.500411 -0.582931 0 0
26100 50 50.0009 0.500419 -0.582931 0 0
26200 50 50.0009 0.500427 -0.582931 0 0
26300 50 50.0009 0.500435 -0.582931 0 0
26400 50 50.0009 0.500443 -0.582931 0 0
26500 50 50.001 0.500451 -0.582931 0 0
26600 50 50.001 0.500459 -0.582931 0 0
26700 50 50.001 0.500467 -0.582931 0 0
26800 50 50.001 0.500475 -0.582931 0 0
26900 50 50.001 0.500483 -0.582931 0 0
27000 50 50.001 0.500491 -0.582931 0 0
27100 50 50.001 0.500499 -0.582931 0 0
27200 50 50.001 0.500507 -0.582931 0 0
27300 50 50.001 0.500515 -0.582931 0 0
27400 50 50.001 0.500523 -0.582931 0 0
27500 50 50.001 0.500531 -0.582931 0 0
27600 50 50.001 0.500539 -0.582931 0 0
27700 50 50.001 0.500547 -0.582931 0 0
27800 50 50.001 0.500555 -0.582931 0 0
27900 50 50.001 0.500563 -0.582931 0 0
28000 50 50.001 0.500571 -0.582931 0 0
28100 50 50.001 0.500579 -0.582931 0 0
28200 50 50.001 0.500587 -0.582931 0 0
28300 50 50.001 0.500595 -0.582931 0 0
28400 50 50.001 0.500603 -0.582931 0 0
28500 50 50.001 0.500611 -0.582931 0 0
28600 50 50.001 0.500619 -0.582931 0 0
28700 50 50.001 0.500627 -0.582931 0 0
28800 50 50.001 0.500635 -0.582931 0 0
28900 50 50.001 0.500643 -0.582931 0 0
29000 50 50.001 0.500651 -0.582931 0 0
29100 50 50.0011 0.500659 -0.582931 0 0
29200 50 50.0011 0.500667 -0.582931 0 0
29300 50 50.0011 0.500675 -0.582931 0 0
29400 50 50.0011 0.500683 -0.582931 0 0
29500 50 50.0011 0.500691 -0.582931 0 0
29600 50 50.0011 0.500699 -0.582931 0 0
29700 50 50.0011 0.500707 -0.582931 0 0
29800 50 50.0011 0.500715 -0.582931 0 0
29900 50 50.0011 0.500723 -0.582931 0 0
30000 50 50.0011 0.500731 -0.582931 0 0
30100 50 50.0011 0.500739 -0.582931 0 0
30200 50 50.0011 0.500747 -0.582931 0 0
30300 50 50.0011 0.500755 -0.582931 0 0
30400 50 50.0011 0.500763 -0.582931 0 0
30500 50 50.0011 0.500771 -0.582931 0 0
30600 50 50.0011 0.500779 -0.582931 0 0
30700 50 50.0011 0.500787 -0.582931 0 0
30800 50 50.0011 0.500795 -0.582931 0 0
30900 50 50.0011 0.500803 -0.582931 0 0
31000 50 50.0011 0.500811 -0.582931 0 0
31100 50 50.0011 0.500819 -0.582931 0 0
31200 50 50.0011 0.500827 -0.582931 0 0
31300 50 50.0011 0.500835 -0.582931 0 0
31400 50 50.0011 0.500843 -0.582931 0 0
31500 50 50.0011 0.500851 -0.582931 0 0
31600 50 50.0011 0.500859 -0.582931 0 0
31700 50 50.0012 0.500867 -0.582931 0 0
31800 50 50.0012 0.500875 -0.582931 0 0
31900 50 50.0012 0.500883 -0.582931 0 0
32000 50 50.0012 0.500891 -0.582931 0 0
32100 50 50.0012 0.500899 -0.582931 0 0
32200 50 50.0012 0.500907 -0.582931 0 0
32300 50 50.0012 0.500915 -0.582931 0 0
32400 50 50.0012 0.500923 -0.582931 0 0
32500 50 50.0012 0.500931 -0.582931 0 0
32600 50 50.0012 0.500939 -0.582931 0 0
32700 50 50.0012 0.500947 -0.582931 0 0
32800 50 50.0012 0.500955 -0.582931 0 0
32900 50 50.0012 0.500963 -0.582931 0 0
33000 50 50.0012 0.500971 -0.582931 0 0
33100 50 50.0012 0.500979 -0.582931 0 0
33200 50 50.0012 0.500987 -0.582931 0 0
33300 50 50.0012 0.500995 -0.582931 0 0
33400 50 50.0012 0.501003 -0.582931 0 0
33500 50 50.0012 0.501011 -0.582931 0 0
33600 50 50.0012 0.501019 -0.582931 0 0
33700 50 50.0012 0.501027 -0.582931 0 0
33800 50 50.0012 0.501035 -0.582931 0 0
33900 50 50.0012 0.501043 -0.582931 0 0
34000 50 50.0012 0.501051 -0.582931 0 0
34100 50 50.0012 0.501059 -0.582931 0 0
34200 50 50.0012 0.501067 -0.582931 0 0
34300 50 50.0013 0.501075 -0.582931 0 0
34400 50 50.0013 0.501083 -0.582931 0 0
34500 50 50.0013 0.501091 -0.582931 0 0
34600 50 50.0013 0.501099 -0.582931 0 0
34700 50 50.0013 0.501107 -0.582931 0 0
34800 50 50.0013 0.501115 -0.582931 0 0
34900 50 50.0013 0.501123 -0.582931 0 0
35000 50 50.0013 0.501131 -0.582931 0 0
35100 50 50.0013 0.501139 -0.582931 0 0
35200 50 50.0013 0.501147 -0.582931 0 0
35300 50 50.0013 0.501155 -0.582931 0 0
35400 50 50.0013 0.501163 -0.582931 0 0
35500 50 50.0013 0.501171 -0.582931 0 0
35600 50 50.0013 0.501179 -0.582931 0 0
35700 50 50.0013 0.501187 -0.582931 0 0
35800 50 50.0013 0.501195 -0.582931 0 0
35900 50 50.0013 0.501203 -0.582931 0 0
36000 50 50.0013 0.501211 -0.582931 0 0
36100 50 50.0013 0.501219 -0.582931 0 0
36200 50 50.0013 0.501227 -0.582931 0 0
36300 50 50.0013 0.501235 -0.582931 0 0
36400 50 50.0013 0.501243 -0.582931 0 0
36500 50 50.0013 0.501251 -0.582931 0 0
36600 50 50.0013 0.501259 -0.582931 0 0
36700 50 50.0013 0.501267 -0.582931 0 0
36800 50 50.0013 0.501275 -0.582931 0 0
36900 50 50.0014 0.501283 -0.582931 0 0
37000 50 50.0014 0.501291 -0.582931 0 0
37100 50 50.0014 0.501299 -0.582931 0 0
37200 50 50.0014 0.501307 -0.582931 0 0
37300 50 50.0014 0.501315 -0.582931 0 0
37400 50 50.0014 0.501323 -0.582931 0 0
37500 50 50.0014 0.501331 -0.582931 0 0
37600 50 50.0014 0.501339 -0.582931 0 0
37700 50 50.0014 0.501347 -0.582931 0 0
37800 50 50.0014 0.501355 -0.582931 0 0
37900 50 50.0014 0.501363 -0.582931 0 0
38000 50 50.0014 0.501371 -0.582931 0 0
38100 50 50.0014 0.501379 -0.582931 0 0
38200 50 50.0014 0.501387 -0.582931 0 0
38300 50 50.0014 0.501395 -0.582931 0 0
38400 50 50.0014 0.501403 -0.582931 0 0
38500 50 50.0014 0.501411 -0.582931 0 0
38600 50 50.0014 0.501419 -0.582931 0 0
38700 50 50.0014 0.501427 -0.582931 0 0
38800 50 50.0014 0.501435 -0.582931 0 0
38900 50 50.0014 0.501443 -0.582931 0 0
39000 50 50.0014 0.501451 -0.582931 0 0
39100 50 50.0014 0.501459 -0.582931 0 0
39200 50 50.0014 0.501467 -0.582931 0 0
39300 50 50.0014 0.501475 -0.582931 0 0
39400 50 50.0014 0.501483 -0.582931 0 0
39500 50 50.0015 0.501491 -0.582931 0 0
39600 50 50.0015 0.501499 -0.582931 0 0
39700 50 50.0015 0.501507 -0.582931 0 0
39800 50 50.0015 0.501515 -0.582931 0 0
39900 50 50.0015 0.501523 -0.582931 0 0
40000 50 50.0015 0.501531 -0.582931 0 0
